latitude,longitude,crime_type,severity,date_time,frequency
19.23878125051623,72.98995053898402,Burglary,4,2024-02-27 16:33:10.736198,61
19.076625184290954,72.81135807486827,Vandalism,5,2024-10-02 14:58:56.736198,26
19.043850335308775,72.88139267717065,Assault,3,2024-02-26 16:34:12.736198,66
19.06492014277197,72.82092623297343,Theft,5,2024-05-16 01:32:22.736198,69
19.060872985094313,72.84925492580805,Assault,5,2023-11-04 09:39:11.736198,89
19.045696178756028,72.9050374853489,Vandalism,2,2024-10-10 18:03:04.736198,18
19.023269148694407,72.84329757122258,Burglary,3,2024-01-18 18:36:03.736198,133
18.982025595021916,72.88612088622979,Theft,3,2024-03-01 10:48:15.736198,18
19.008671327708992,72.86008179985797,Theft,3,2024-02-21 13:28:48.736198,95
19.0617845786915,72.80713711828922,Theft,5,2024-09-21 02:47:13.736198,56
19.080899331422174,72.86756113649258,Assault,4,2023-12-05 08:44:40.736198,87
19.17842528714857,72.98558113139696,Theft,3,2024-08-02 19:14:51.736198,12
19.23226446627227,72.98596970770843,Theft,5,2024-01-30 20:58:54.736198,89
19.202226508640603,73.01088233610888,Assault,2,2024-04-29 12:08:24.736198,28
19.2195894882962,72.93859066867292,Drug Offense,4,2024-10-01 00:10:27.736198,17
19.053822448567583,72.833404311719,Assault,2,2024-03-05 04:28:44.736198,103
18.999135335077785,72.82916630788768,Theft,4,2024-10-14 16:33:30.736198,45
19.206666381721025,72.95780486538614,Vandalism,5,2023-11-28 13:36:16.736198,52
19.22311506358977,73.0301336622836,Burglary,1,2023-11-11 07:05:13.736198,12
19.08828333400087,72.89285015420096,Assault,4,2023-12-16 08:44:18.736198,72
19.03835079888516,72.84599967202291,Assault,2,2023-11-06 19:09:46.736198,122
19.058487634932305,72.85004400538072,Theft,5,2024-08-15 07:02:06.736198,91
19.06306854231515,72.85606903992772,Theft,4,2024-04-25 02:35:40.736198,92
19.26144616426531,72.96598570153994,Vandalism,1,2024-03-18 15:14:47.736198,15
19.219277201406513,72.97891183382407,Drug Offense,1,2024-01-10 21:13:42.736198,92
19.076911436798078,72.86466799304789,Theft,3,2024-10-01 11:45:43.736198,93
19.107720336322906,72.85294369002347,Theft,3,2024-04-22 09:37:38.736198,22
19.069742301346796,72.81813862946018,Burglary,2,2024-05-02 23:29:23.736198,54
19.041746386283144,72.81806504983233,Theft,4,2024-04-16 12:48:16.736198,119
19.248915016646873,73.00247523703395,Vandalism,4,2024-06-16 15:26:44.736198,26
19.01924567978551,72.87750960750131,Burglary,3,2024-02-23 11:34:29.736198,75
19.07564556515977,72.84679828907167,Theft,4,2024-03-29 04:40:23.736198,69
19.06719911026606,72.88031481154573,Drug Offense,4,2024-01-27 05:17:11.736198,107
19.0399963075495,72.81143543901345,Assault,1,2024-08-22 18:25:00.736198,100
19.03406341167924,72.85766635934377,Assault,3,2024-02-06 23:57:29.736198,112
19.219836437821204,72.95244015551623,Assault,5,2024-02-13 16:58:11.736198,46
19.066998690570415,72.89015699864696,Vandalism,3,2023-12-02 15:59:34.736198,85
19.01038067668362,72.87938659606729,Burglary,5,2023-11-13 06:36:04.736198,67
19.053672002131393,72.80984598320676,Theft,1,2024-07-14 23:45:52.736198,85
19.041932351212896,72.87658904602208,Theft,2,2024-10-09 12:21:55.736198,69
19.067820673910504,72.83214195406937,Vandalism,4,2024-10-25 09:37:29.736198,68
19.214594246822447,72.97550358600533,Drug Offense,1,2024-02-24 10:47:40.736198,86
19.24772340654987,72.97391352645695,Assault,4,2024-02-16 13:11:12.736198,52
19.015694089352262,72.86178043051541,Vandalism,2,2024-05-01 23:17:04.736198,113
19.02717959651493,72.86287324210574,Theft,2,2023-10-28 02:29:50.736198,100
19.056189273497388,72.86637404540795,Drug Offense,1,2024-08-11 07:44:16.736198,91
19.20527163992771,72.96842228331892,Drug Offense,2,2024-03-03 16:39:30.736198,68
19.031819199364072,72.86508526622973,Drug Offense,5,2024-03-15 14:53:49.736198,96
19.244647881312687,72.98205199209384,Assault,2,2024-04-17 22:36:04.736198,57
19.032033441280866,72.83361896457566,Vandalism,4,2024-06-23 21:00:14.736198,133
19.105557880894832,72.86733459563453,Vandalism,4,2024-10-06 00:52:59.736198,34
19.074457965811717,72.88452303949634,Assault,4,2024-06-08 18:53:57.736198,99
19.029413096613848,72.87837407161166,Drug Offense,4,2024-04-16 11:43:29.736198,67
19.015805286114258,72.88500234430899,Theft,5,2024-01-26 15:51:08.736198,50
19.090945872102466,72.88990740530868,Assault,3,2023-11-16 14:49:33.736198,69
19.044272048927446,72.85440102080861,Vandalism,1,2023-12-03 17:23:32.736198,101
19.05147460180673,72.82001608787218,Drug Offense,4,2024-08-31 16:37:47.736198,107
19.013862567116774,72.84740537883452,Vandalism,2,2024-03-26 06:38:49.736198,112
19.022476014275426,72.84491842738527,Drug Offense,4,2024-05-03 10:32:56.736198,133
19.020929044164262,72.86604902528016,Drug Offense,2,2023-11-20 01:09:06.736198,99
19.21186729897565,73.01963495967121,Drug Offense,2,2024-03-30 15:28:50.736198,24
19.205429635392395,72.99665680256162,Assault,4,2024-10-12 16:56:59.736198,60
19.190247894564006,73.01309153486373,Vandalism,5,2023-12-01 08:34:58.736198,12
19.088482396341043,72.89026691018529,Burglary,2,2024-02-16 02:51:17.736198,72
19.07296429809929,72.8894663441297,Drug Offense,2,2023-12-25 02:15:01.736198,90
19.07649020348518,72.88765996582491,Theft,4,2023-11-23 17:05:20.736198,86
19.08333196492194,72.85890240427345,Burglary,2,2024-07-08 23:40:53.736198,78
19.083227912110168,72.90846073132933,Burglary,2,2024-06-28 11:18:05.736198,36
19.222778282681293,73.00538280859948,Assault,4,2024-04-15 07:14:29.736198,47
19.055783085220103,72.86164990939423,Burglary,4,2024-01-05 07:54:53.736198,87
19.01406105545012,72.84023405510924,Drug Offense,1,2024-02-20 01:33:25.736198,110
